Date,ticker,instrument,open,high,low,close,volume
2016-03-22,IBM,IBM,141.55,142.72,141.34,141.59,4269667
2016-03-23,IBM,IBM,141.49,141.52,138.75,139.01,4983353
2016-03-24,IBM,IBM,138.6,141.7,138.14,141.44,5276547
2016-03-28,IBM,IBM,141.25,142.11,140.76,141.87,3415295
2016-03-29,IBM,IBM,141.1,143.17,141.01,142.76,3282871
2016-03-30,IBM,IBM,143.36,143.8,141.8,141.88,3484435
2016-03-31,IBM,IBM,143.2,146.37,142.79,144.79,7092508
2016-04-01,IBM,IBM,143.89,146.23,143.64,145.81,4106073
2016-04-04,IBM,IBM,145.64,146.77,145.23,145.38,4112035
2016-04-05,IBM,IBM,144.77,144.93,143.07,143.4,3490502
2016-04-06,IBM,IBM,143.31,143.55,141.31,143.42,4387552
2016-04-07,IBM,IBM,142.51,143.02,141.49,141.73,3831498
2016-04-08,IBM,IBM,142.5,143.39,141.61,142.78,3445315
2016-04-11,IBM,IBM,143.65,145.27,142.66,142.69,4023021
2016-04-12,IBM,IBM,143.03,143.51,142.05,143.05,3761207
2016-04-13,IBM,IBM,144.12,144.58,143.05,144.58,3314146
2016-04-14,IBM,IBM,144.84,146.04,143.77,144.51,3322619
2016-04-15,IBM,IBM,144.4,145.41,144.32,145.05,3825850
2016-04-18,IBM,IBM,145.05,146.41,144.83,145.82,6884458
2016-04-19,IBM,IBM,140.03,140.49,136.34,137.67,13796949
2016-04-20,IBM,IBM,137.9,140.73,137.67,139.68,7064998
2016-04-21,IBM,IBM,140.13,143.52,140.02,142.73,6294514
2016-04-22,IBM,IBM,142.87,144.36,141.01,141.97,5430727
2016-04-25,IBM,IBM,141.64,142.35,140.64,142.27,2979949
2016-04-26,IBM,IBM,142.11,143.2,141.4,142.52,3116871
2016-04-27,IBM,IBM,142.78,144.15,142.42,143.85,3254315
2016-04-28,IBM,IBM,143.16,143.58,140.28,140.6,3965909
2016-04-29,IBM,IBM,140.05,140.86,137.85,139.52,4420187
2016-05-02,IBM,IBM,140.11,140.54,138.08,138.88,3663510
2016-05-03,IBM,IBM,138.29,138.53,136.62,137.79,3749178
2016-05-04,IBM,IBM,137.06,138.62,137.01,137.91,2695647
2016-05-05,IBM,IBM,139.53,140.82,139.05,140.03,6800255
2016-05-06,IBM,IBM,138.49,141.46,138.12,140.81,5121007
2016-05-09,IBM,IBM,141.2,141.68,140.54,140.86,4500310
2016-05-10,IBM,IBM,141.72,143.44,141.24,143.37,4176364
2016-05-11,IBM,IBM,143.13,144.45,142.2,142.4,3235278
2016-05-12,IBM,IBM,142.65,142.82,140.64,142.29,3398663
2016-05-13,IBM,IBM,142.25,143.27,140.94,141.22,2508308
2016-05-16,IBM,IBM,141.16,143.39,140.96,142.89,3210279
2016-05-17,IBM,IBM,142.65,142.93,140.81,141.49,3651168
2016-05-18,IBM,IBM,141.48,141.99,139.92,140.86,2605691
2016-05-19,IBM,IBM,140.04,140.47,137.63,138.56,3855138
2016-05-20,IBM,IBM,139.3,141.02,139.15,140.77,3840389
2016-05-23,IBM,IBM,141.12,141.44,140.21,140.32,2200575
2016-05-24,IBM,IBM,140.42,142.21,140.42,141.79,3064048
2016-05-25,IBM,IBM,142.38,145.4,141.97,145.02,4555644
2016-05-26,IBM,IBM,144.89,145.8,144.41,145.74,3203793
2016-05-27,IBM,IBM,145.65,146.2,145.46,146.12,2570127
2016-05-31,IBM,IBM,145.85,147.05,145.57,146.98,6105084
2016-06-01,IBM,IBM,146.27,146.53,144.88,145.8,2785916
2016-06-02,IBM,IBM,145.88,146.75,145.43,146.75,2764160
2016-06-03,IBM,IBM,145.7,146.31,145.03,146.17,2435402
2016-06-06,IBM,IBM,146.36,147.18,145.64,146.01,2488120
2016-06-07,IBM,IBM,146.57,147.16,145.95,146.59,4670390
2016-06-08,IBM,IBM,146.78,147.31,146.31,147.23,3070010
2016-06-09,IBM,IBM,146.2,147.0,146.01,146.67,2114803
2016-06-10,IBM,IBM,146.07,146.59,145.18,145.67,3264148
2016-06-13,IBM,IBM,144.96,145.79,143.67,144.63,3776478
2016-06-14,IBM,IBM,144.63,145.11,143.79,144.42,2997627
2016-06-15,IBM,IBM,144.8,145.11,143.98,144.05,2364378
2016-06-16,IBM,IBM,143.59,144.64,142.45,144.42,2561759
2016-06-17,IBM,IBM,144.32,146.0,143.98,145.31,4878439
2016-06-20,IBM,IBM,145.89,147.87,145.81,146.85,3736417
2016-06-21,IBM,IBM,147.38,147.77,146.93,147.28,2887274
2016-06-22,IBM,IBM,146.99,147.91,145.57,146.2,2964050
2016-06-23,IBM,IBM,146.7,148.64,145.89,148.52,4151992
2016-06-24,IBM,IBM,143.37,143.99,139.75,140.14,9500609
2016-06-27,IBM,IBM,139.75,140.15,136.23,137.19,5248723
2016-06-28,IBM,IBM,138.41,139.32,137.88,139.29,4181594
2016-06-29,IBM,IBM,140.06,141.95,140.01,141.93,3522614
2016-06-30,IBM,IBM,142.31,145.23,142.13,145.11,4149587
2016-07-01,IBM,IBM,145.11,146.24,144.74,145.65,2780582
2016-07-05,IBM,IBM,144.54,145.32,144.13,145.01,2578599
2016-07-06,IBM,IBM,145.17,145.71,143.33,145.67,2687592
2016-07-07,IBM,IBM,146.03,146.93,145.21,145.89,2236766
2016-07-08,IBM,IBM,147.23,147.8,146.35,147.67,3180468
2016-07-11,IBM,IBM,147.8,149.18,147.71,148.5,2964050
2016-07-12,IBM,IBM,149.14,150.21,148.68,150.13,4020615
2016-07-13,IBM,IBM,150.81,151.38,150.15,151.07,2872734
2016-07-14,IBM,IBM,151.83,154.3,151.61,153.23,4850930
2016-07-15,IBM,IBM,152.87,152.94,151.53,152.75,4682733
2016-07-18,IBM,IBM,152.29,153.68,151.75,152.83,7039266
2016-07-19,IBM,IBM,154.67,155.01,150.95,152.56,7447520
2016-07-20,IBM,IBM,152.93,154.6,152.58,154.26,4577610
2016-07-21,IBM,IBM,153.68,154.73,152.86,153.39,3680769
2016-07-22,IBM,IBM,153.71,155.04,153.42,154.94,2636025
2016-07-25,IBM,IBM,154.88,155.72,154.64,155.5,2933612
2016-07-26,IBM,IBM,155.5,156.41,154.27,154.99,3027752
2016-07-27,IBM,IBM,154.99,155.42,154.09,154.71,2262184
2016-07-28,IBM,IBM,154.28,154.69,153.64,154.27,2448058
2016-07-29,IBM,IBM,154.26,154.56,152.99,153.56,3710685
2016-08-01,IBM,IBM,153.59,154.54,152.81,154.35,2953486
2016-08-02,IBM,IBM,154.18,154.35,153.31,153.52,3222621
2016-08-03,IBM,IBM,153.09,153.79,152.77,153.6,2993338
2016-08-04,IBM,IBM,153.79,154.59,153.08,154.45,2603599
2016-08-05,IBM,IBM,154.88,156.32,154.46,156.31,3987770
2016-08-08,IBM,IBM,155.57,156.09,154.47,154.91,3179108
2016-08-09,IBM,IBM,155.09,155.61,154.54,154.66,2863425
2016-08-10,IBM,IBM,155.06,155.51,154.84,154.95,2580168
2016-08-11,IBM,IBM,155.11,157.7,155.05,156.34,9171956
2016-08-12,IBM,IBM,156.01,156.27,154.42,154.83,2660083
2016-08-15,IBM,IBM,155.26,155.8,154.67,154.76,3107038
2016-08-16,IBM,IBM,154.02,154.81,153.62,153.63,2311869
2016-08-17,IBM,IBM,153.89,154.07,152.81,153.38,3374291
2016-08-18,IBM,IBM,153.81,154.88,153.38,154.26,3819992
2016-08-19,IBM,IBM,153.77,153.83,152.5,153.0,2944699
2016-08-22,IBM,IBM,152.96,153.51,152.13,152.96,2133108
2016-08-23,IBM,IBM,153.28,154.24,153.18,153.21,2968653
2016-08-24,IBM,IBM,152.86,153.14,151.36,152.06,3813507
2016-08-25,IBM,IBM,152.01,152.52,151.45,151.65,2693450
2016-08-26,IBM,IBM,151.89,153.38,150.91,151.36,2613849
2016-08-29,IBM,IBM,151.85,153.16,151.53,152.7,2589791
2016-08-30,IBM,IBM,152.73,153.11,151.83,152.39,1896712
2016-08-31,IBM,IBM,152.64,152.64,151.3,151.89,2430486
2016-09-01,IBM,IBM,151.36,152.6,151.15,152.52,2466886
2016-09-02,IBM,IBM,152.85,153.51,152.15,152.53,2421908
2016-09-06,IBM,IBM,152.85,153.79,152.11,153.3,3131829
2016-09-07,IBM,IBM,153.15,154.65,152.96,154.53,2999196
2016-09-08,IBM,IBM,153.49,154.12,151.78,152.01,4145507
2016-09-09,IBM,IBM,151.08,151.43,148.8,148.84,5424556
2016-09-12,IBM,IBM,148.43,151.56,148.03,151.33,4568405
2016-09-13,IBM,IBM,150.7,150.98,148.66,148.96,3803988
2016-09-14,IBM,IBM,148.85,149.02,146.64,147.28,4038188
2016-09-15,IBM,IBM,147.51,149.46,146.47,148.81,3813298
2016-09-16,IBM,IBM,148.22,148.57,146.72,147.07,6760926
2016-09-19,IBM,IBM,148.06,149.32,147.75,148.06,2562805
2016-09-20,IBM,IBM,149.02,149.68,147.66,147.66,2258419
2016-09-21,IBM,IBM,148.1,148.83,147.1,148.69,2587699
2016-09-22,IBM,IBM,149.28,150.31,148.84,149.24,2814891
2016-09-23,IBM,IBM,148.78,149.18,147.91,148.16,2826501
2016-09-26,IBM,IBM,147.67,147.67,146.71,147.21,2649832
2016-09-27,IBM,IBM,147.53,149.88,147.05,149.88,3124611
2016-09-28,IBM,IBM,150.09,151.65,149.36,151.33,3462260
2016-09-29,IBM,IBM,151.65,157.74,150.54,151.16,3530041
2016-09-30,IBM,IBM,151.91,152.81,151.11,151.86,3762357
2016-10-03,IBM,IBM,151.11,151.41,150.11,150.68,2330279
2016-10-04,IBM,IBM,150.74,151.56,148.97,149.58,3016769
2016-10-05,IBM,IBM,150.16,150.89,149.83,150.17,1761987
2016-10-06,IBM,IBM,149.94,150.51,149.03,149.98,2039805
2016-10-07,IBM,IBM,150.23,150.76,148.05,148.82,2794807
2016-10-10,IBM,IBM,149.82,151.52,149.77,150.11,2595440
2016-10-11,IBM,IBM,149.84,150.05,147.12,147.98,3034760
2016-10-12,IBM,IBM,148.15,148.15,146.35,147.5,3100344
2016-10-13,IBM,IBM,146.94,147.44,145.57,146.96,3043755
2016-10-14,IBM,IBM,147.68,148.69,147.31,147.66,4558677
2016-10-17,IBM,IBM,147.66,149.03,147.55,147.96,6161358
2016-10-18,IBM,IBM,143.42,144.36,141.29,144.09,13358048
2016-10-19,IBM,IBM,144.62,145.75,144.2,144.61,4846013
2016-10-20,IBM,IBM,144.63,146.18,144.38,144.86,4208163
2016-10-21,IBM,IBM,143.96,144.5,142.98,143.05,4617253
2016-10-24,IBM,IBM,143.79,144.86,143.79,143.95,2789368
2016-10-25,IBM,IBM,143.95,144.51,143.24,144.24,2769285
2016-10-26,IBM,IBM,144.08,146.21,143.65,145.13,2941038
2016-10-27,IBM,IBM,146.1,147.28,145.33,146.61,4423848
